class_weights,active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
,0.9347,0.9620,0.9247,0.7062,0.9590,0.8911,0.7195,0.7194,0.9524,0.7743
,0.9321,0.9610,0.9243,0.7019,0.9594,0.8830,0.7193,0.7188,0.9494,0.7676
,0.9312,0.9597,0.9235,0.7164,0.9578,0.8806,0.7186,0.7186,0.9300,0.7605
,0.9289,0.9588,0.9189,0.7005,0.9552,0.8779,0.7106,0.7106,0.9368,0.7557
,0.9341,0.9604,0.9212,0.7215,0.9585,0.8769,0.7142,0.7140,0.9292,0.7609
,0.9250,0.9614,0.9213,0.6976,0.9567,0.8859,0.7107,0.7105,0.9504,0.7713
,0.9320,0.9593,0.9216,0.7075,0.9567,0.8759,0.7145,0.7144,0.9476,0.7694
,0.9307,0.9585,0.9176,0.7145,0.9539,0.8730,0.7116,0.7116,0.9448,0.7613
,0.9331,0.9540,0.9162,0.7145,0.9497,0.8760,0.7078,0.7075,0.9525,0.7690
,0.9236,0.9583,0.9204,0.6856,0.9563,0.8779,0.7093,0.7092,0.9497,0.7634
,0.9305,0.9593,0.9210,0.7066,0.9563,0.8798,0.7136,0.7134,0.9443,0.7653
,0.0037,0.0023,0.0028,0.0107,0.0029,0.0055,0.0043,0.0043,0.0090,0.0058
