,active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
,0.9343,0.9634,0.9261,0.7107,0.9601,0.8934,0.7285,0.7281,0.9550,0.7782
,0.9311,0.9608,0.9244,0.7010,0.9609,0.8831,0.7173,0.7172,0.9519,0.7671
,0.9331,0.9602,0.9223,0.7127,0.9570,0.8816,0.7198,0.7198,0.9437,0.7702
,0.9285,0.9599,0.9205,0.7077,0.9569,0.8802,0.7166,0.7164,0.9564,0.7648
,0.9318,0.9594,0.9200,0.7183,0.9579,0.8768,0.7132,0.7131,0.9527,0.7822
,0.9269,0.9628,0.9223,0.6986,0.9599,0.8852,0.7177,0.7175,0.9554,0.7713
,0.9310,0.9584,0.9203,0.7083,0.9569,0.8742,0.7099,0.7099,0.9531,0.7704
,0.9301,0.9582,0.9182,0.7194,0.9550,0.8744,0.7069,0.7067,0.9531,0.7729
,0.9348,0.9570,0.9191,0.7174,0.9532,0.8816,0.7094,0.7094,0.9458,0.7613
,0.9236,0.9580,0.9186,0.6797,0.9565,0.8754,0.7125,0.7125,0.9550,0.7661
,0.9305,0.9598,0.9212,0.7074,0.9574,0.8806,0.7152,0.7150,0.9522,0.7704
,0.0035,0.0021,0.0026,0.0120,0.0024,0.0059,0.0063,0.0062,0.0042,0.0062
