active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9309,0.9629,0.9248,0.6936,0.9594,0.8924,0.7237,0.7236,0.9511,0.7725
0.9310,0.9639,0.9264,0.7024,0.9627,0.8890,0.7235,0.7234,0.9499,0.7657
0.9316,0.9595,0.9219,0.7124,0.9572,0.8821,0.7086,0.7085,0.9485,0.7723
0.9290,0.9587,0.9203,0.7088,0.9554,0.8799,0.7141,0.7139,0.9538,0.7593
0.9319,0.9591,0.9193,0.7142,0.9570,0.8776,0.7142,0.7140,0.9537,0.7770
0.9255,0.9638,0.9235,0.6979,0.9612,0.8855,0.7193,0.7188,0.9540,0.7668
0.9332,0.9595,0.9215,0.7123,0.9588,0.8779,0.7143,0.7143,0.9543,0.7667
0.9309,0.9588,0.9191,0.7161,0.9560,0.8755,0.7122,0.7122,0.9403,0.7567
0.9360,0.9573,0.9197,0.7152,0.9541,0.8832,0.7101,0.7100,0.9516,0.7612
0.9235,0.9595,0.9216,0.6790,0.9593,0.8796,0.7105,0.7104,0.9533,0.7584
0.9304,0.9603,0.9218,0.7052,0.9581,0.8823,0.7151,0.7149,0.9511,0.7657
0.0036,0.0023,0.0024,0.0120,0.0027,0.0054,0.0054,0.0054,0.0042,0.0068
